Week,Topics/Architectures,Learning Resources,Implementation Tasks,Time Breakdown,Milestones
11,Autoencoders: Vanilla and Denoising,Deep Learning Ch. 14; Autoencoder tutorial on Towards Data Science,Implement encoder-decoder with bottleneck; Add noise for denoising variant; reconstruct images,Study: 4h; Code: 6h; Test: 4h,Autoencoder on MNIST; low reconstruction error
12,VAEs and Advanced Autoencoders: Variational Autoencoders,VAE paper (Kingma 2013); Pyro/PyTorch VAE examples (manual impl),Add KL divergence and reparameterization trick; Generate new samples from latent space,Study: 5h; Code: 7h; Test: 3h,VAE generating digits; understand probabilistic encoding
13,"GANs: Vanilla GAN, DCGAN","Original GAN paper (Goodfellow 2014), DCGAN (Radford 2015); GANs from Scratch tutorials",Implement discriminator/generator adversarial training; Add conv layers for DCGAN on images,Study: 5h; Code: 7h; Test: 3h,GAN generating fake MNIST; stable training (mode collapse checks)
14,"Advanced GANs: WGAN, CycleGAN","WGAN paper (Arjovsky 2017), CycleGAN (Zhu 2017); Hands-on GAN repos on GitHub",Modify loss to Wasserstein; clip weights; Implement unpaired image-to-image translation,Study: 4h; Code: 8h; Test: 3h,"CycleGAN for style transfer (e.g., horse-to-zebra); evaluate FID score"
15,"Transformers Basics: Self-Attention, Multi-Head",Attention Is All You Need paper (Vaswani 2017); Illustrated Transformer blog (Jay Alammar),Implement positional encoding and self-attention; Build a single Transformer layer,Study: 6h; Code: 6h; Test: 3h,Attention on toy sequence; visualize matrices
16,"Full Transformers: Encoder-Decoder (e.g., BERT-like, GPT-like)","BERT paper (Devlin 2018), GPT (Radford 2018); Hugging Face from-scratch guides (but manual)",Stack layers for encoder (masked LM); Implement decoder for autoregressive generation,Study: 5h; Code: 7h; Test: 3h,Mini-BERT pretraining on text; fine-tune for classification
17,"Variants: Vision Transformer (ViT), T5","ViT paper (Dosovitskiy 2020), T5 (Raffel 2019); ViT tutorials",Patchify images for ViT; Add text-to-text framework for T5-like,Study: 4h; Code: 8h; Test: 3h,ViT on CIFAR; generate text with decoder
18,GNN Basics: Graph Convolutional Networks (GCN),GCN paper (Kipf 2016); PyG (PyTorch Geometric) docs (but implement core manually),Represent graphs (adjacency matrix); Implement message passing and aggregation,Study: 5h; Code: 6h; Test: 3h,GCN node classification on Cora; accuracy >80%
19,"Advanced GNNs: Graph Attention (GAT), GraphSAGE","GAT paper (Velickovic 2017), GraphSAGE (Hamilton 2017); DGL library tutorials (manual impl)",Add attention to graph conv; Implement inductive learning for new nodes,Study: 4h; Code: 7h; Test: 3h,GAT on link prediction; handle large graphs
20,"Other Models: Diffusion Models, SOM, Boltzmann Machines","Diffusion paper (Ho 2020), SOM (Kohonen); Grokking Deep Learning for extras",Implement forward/reverse diffusion process; Build basic SOM for clustering; restricted Boltzmann for collab filtering,Study: 5h; Code: 7h; Test: 3h,Diffusion generating images; SOM visualization; capstone project integrating models
